Symbol,Date,Open,High,Low,Close,Volume
UATG.OB,02-Jul-2021,0.0196,0.0206,0.019,0.0202,4079700
UBAAF.OB,02-Jul-2021,2.73,2.74,2.7164,2.7164,19200
UBAB.OB,02-Jul-2021,30,30,29.5501,29.5501,1100
UBMRF.OB,02-Jul-2021,0.1452,0.1456,0.1365,0.1365,312500
UBNC.OB,02-Jul-2021,17.5,17.5,17.5,17.5,300
UBQU.OB,02-Jul-2021,0.0005,0.0006,0.0004,0.0005,140915900
UBSFY.OB,02-Jul-2021,14.48,14.48,14.31,14.46,1145100
UBYH.OB,02-Jul-2021,0.0035,0.0035,0.0035,0.0035,100
UCBJF.OB,02-Jul-2021,106.9,106.9,106.9,106.9,100
UCBJY.OB,02-Jul-2021,54.01,54.02,53.495,53.91,4800
UCCPF.OB,02-Jul-2021,0.1162,0.1162,0.1162,0.1162,9700
UCLE.OB,02-Jul-2021,0.9,0.9,0.801,0.801,22600
UCPA.OB,02-Jul-2021,0.0074,0.0074,0.0074,0.0074,11000
UEEC.OB,02-Jul-2021,1.05,1.0565,1.03,1.04,64000
UEPEN.OB,02-Jul-2021,89.75,89.75,89.75,89.75,100
UEPEP.OB,02-Jul-2021,102.31,102.31,102.31,102.31,100
UEXCF.OB,02-Jul-2021,0.298,0.313,0.298,0.313,768800
UGAZF.OB,02-Jul-2021,9.55,10.1,9.53,9.71,4600
UGEIF.OB,02-Jul-2021,1.44,1.55,1.4,1.4852,50600
UGLDF.OB,02-Jul-2021,168.11,168.11,166.3,167.2065,100
UITA.OB,02-Jul-2021,0.0121,0.0125,0.0121,0.0125,4000
ULGX.OB,02-Jul-2021,0.0091,0.0091,0.0091,0.0091,50000
ULNV.OB,02-Jul-2021,1.55,1.55,1.55,1.55,1000
ULTHF.OB,02-Jul-2021,0.7075,0.7075,0.646,0.683,246200
ULTXF.OB,02-Jul-2021,0.148,0.1831,0.148,0.1831,4100
UMAV.OB,02-Jul-2021,0.118,0.1286,0.118,0.1286,300
UMAX.OB,02-Jul-2021,0.34,0.34,0.2603,0.2603,50000
UMCN.OB,02-Jul-2021,0.006,0.006,0.006,0.006,13800
UMGP.OB,02-Jul-2021,0.15,0.15,0.143,0.143,24100
UMICF.OB,02-Jul-2021,61.2,61.2,61.2,61.2,300
UMICY.OB,02-Jul-2021,15.21,15.32,15.205,15.2925,9700
UNCFF.OB,02-Jul-2021,12.1,12.1,12.1,12.1,100
UNCHF.OB,02-Jul-2021,40.78,40.78,40.78,40.78,15100
UNCRY.OB,02-Jul-2021,5.87,5.96,5.87,5.88,69300
UNDR.OB,02-Jul-2021,0.0022,0.0039,0.0022,0.0033,3257000
UNEGF.OB,02-Jul-2021,0.15,0.15,0.15,0.15,400
UNGS.OB,02-Jul-2021,0.0002,0.0002,0.0002,0.0002,200
UNIB.OB,02-Jul-2021,16.25,16.25,16.25,16.25,1300
