Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$15.91,0.07,0.442%,299395907.00,United States,2002,39725,,
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$13.3341,0.0641,0.483%,67702786.00,United States,2002,1711,,
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$14.25,-0.08,-0.558%,79102377.00,United States,2002,17630,,
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.7312,-0.0188,-2.507%,30668417.00,United States,2007,532275,Health Care,Major Pharmaceuticals
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$64.665,0.765,1.197%,236201587.00,United States,,1426,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.235,0.015,0.676%,35760179.00,United States,2017,5987,Public Utilities,Water Supply
NEWP,New Pacific Metals Corp. Common Shares,$5.45,-0.04,-0.729%,838408631.00,,2021,60174,Capital Goods,Medical Specialities
NG,Novagold Resources Inc.,$9.72,-0.11,-1.119%,3220539108.00,Canada,,610189,Basic Industries,Precious Metals
NGD,New Gold Inc.,$2.18,0.00,0.00%,1483926000.00,Canada,,9159049,Basic Industries,Precious Metals
NHC,National HealthCare Corporation Common Stock,$73.30,-0.49,-0.664%,1128317162.00,United States,,25012,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$13.14,-0.11,-0.83%,256763287.00,United States,,32211,,
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$5.28,0.04,0.763%,299159140.00,,2013,172930,,
NNVC,NanoViricides Inc. Common Stock,$4.41,0.45,11.364%,50737050.00,United States,,273773,Health Care,Major Pharmaceuticals
NOG,Northern Oil and Gas Inc. Common Stock,$19.24,0.02,0.104%,1162153047.00,United States,,461881,Energy,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$5.13,0.01,0.195%,243266657.00,United States,2003,100621,,
NTIP,Network-1 Technologies Inc. Common Stock,$3.73,0.05,1.359%,89956891.00,United States,,13524,Capital Goods,Telecommunications Equipment
NXE,Nexgen Energy Ltd. Common Shares,$4.87,0.04,0.828%,2292230686.00,,,926654,Basic Industries,Precious Metals
OGEN,Oragenics Inc. Common Stock,$0.7997,0.0164,2.094%,92475921.00,United States,,1419311,Health Care,Major Pharmaceuticals
ORLA,Orla Mining Ltd. Common Shares,$4.595,-0.075,-1.606%,1092171880.00,,2020,368485,Basic Industries,Precious Metals
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$28.78,0.2931,1.029%,,United States,,17817,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$26.80,0.55,2.095%,,United States,,4477,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$24.85,-0.9292,-3.604%,,United States,,200,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.53,0.00,0.00%,,United States,,7,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$23.69,-0.07,-0.295%,,United States,,200,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$22.05,0.04,0.182%,,United States,,230,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$22.49,-0.449,-1.957%,,United States,,700,,
PED,Pedevco Corp. Common Stock,$1.62,0.12,8.00%,128727797.00,United States,,1205594,,
PHGE,BiomX Inc. COmmon Stock,$5.98,-0.04,-0.664%,145473780.00,,2019,13806,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$1.78,-0.06,-3.261%,42737675.00,China,,233492,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$3.85,-0.11,-2.778%,285040190.00,Canada,,678725,Basic Industries,Precious Metals
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$3.48,0.09,2.655%,351053074.00,Canada,,341753,Basic Industries,Precious Metals
